Player,Pos,Age,Tm,Season,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Derrick Favors,PF,19,TOT,2010-11,78,1535,13.8,0.542,0.0,0.416,12.9,19.1,16.0,4.2,1.0,3.5,13.5,17.1,1.5,1.4,2.9,0.091,-2.1,0.0,-2.1,0.0
Derrick Favors,PF,20,UTA,2011-12,65,1376,17.1,0.537,0.0,0.436,13.0,22.5,17.7,5.0,1.4,3.8,16.3,20.7,1.4,1.6,3.0,0.105,-1.3,0.5,-0.8,0.4
Derrick Favors,PF,21,UTA,2012-13,77,1787,17.5,0.533,0.009,0.458,11.9,24.0,17.9,6.8,2.0,5.7,15.9,20.6,1.5,2.9,4.4,0.117,-1.7,2.7,1.1,1.4
Derrick Favors,PF,22,UTA,2013-14,73,2201,19.0,0.556,0.001,0.38,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,2.9,2.3,5.1,0.112,-0.8,1.4,0.7,1.5
Derrick Favors,PF,23,UTA,2014-15,74,2280,21.8,0.558,0.007,0.362,10.0,20.7,15.4,9.4,1.4,4.3,10.2,23.8,5.0,3.3,8.3,0.175,0.8,1.7,2.4,2.6
Derrick Favors,PF,24,UTA,2015-16,62,1983,21.6,0.551,0.005,0.313,10.0,19.6,14.8,8.9,2.0,3.9,10.1,23.9,3.8,3.4,7.1,0.173,0.4,2.3,2.7,2.3
Derrick Favors,PF,25,UTA,2016-17,50,1186,15.8,0.512,0.024,0.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7,0.5,2.2,2.7,0.109,-2.4,2.3,-0.1,0.6
Derrick Favors,C,26,UTA,2017-18,77,2153,18.8,0.593,0.09,0.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,4.5,3.5,8.0,0.179,0.5,2.2,2.7,2.5
Derrick Favors,C,27,UTA,2018-19,76,1766,21.8,0.624,0.126,0.368,12.9,21.3,17.2,8.0,1.5,4.8,10.5,19.4,4.4,3.5,7.9,0.215,1.1,3.2,4.3,2.8
Derrick Jones,SF,19,PHO,2016-17,32,545,12.0,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-0.5,-0.6,-1.1,0.1
Derrick Jones,SF,20,TOT,2017-18,20,245,10.1,0.48,0.34,0.453,9.6,7.8,8.7,5.1,0.8,4.4,9.9,12.8,0.1,0.2,0.4,0.075,-2.7,0.7,-2.0,0.0
Derrick Jones,SF,21,MIA,2018-19,60,1153,14.0,0.559,0.281,0.377,8.8,13.3,11.1,4.7,1.9,3.3,10.2,15.6,1.2,1.7,2.9,0.121,-1.3,1.5,0.2,0.6
Derrick Rose,PG,20,CHI,2008-09,81,3000,16.0,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,3.4,1.5,4.9,0.078,0.9,-1.5,-0.6,1.1
Derrick Rose,PG,21,CHI,2009-10,78,2871,18.6,0.532,0.044,0.246,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,3.5,2.5,6.0,0.1,1.7,-1.3,0.5,1.8
Derrick Rose,PG,22,CHI,2010-11,81,3026,23.5,0.55,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,5.8,0.1,5.9,6.0
Derrick Rose,PG,23,CHI,2011-12,39,1375,23.0,0.532,0.249,0.344,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,4.1,2.0,6.0,0.211,5.5,-0.6,4.9,2.4
Derrick Rose,PG,25,CHI,2013-14,10,311,9.7,0.446,0.287,0.195,3.3,8.3,5.9,26.2,0.9,0.2,16.0,31.5,-0.6,0.4,-0.2,-0.036,-2.8,-2.3,-5.1,-0.2
Derrick Rose,PG,26,CHI,2014-15,51,1530,15.9,0.493,0.325,0.224,2.6,8.7,5.7,30.7,1.2,0.8,14.9,31.7,0.0,1.2,1.2,0.038,1.1,-2.3,-1.3,0.3
Derrick Rose,PG,27,CHI,2015-16,66,2097,13.4,0.479,0.143,0.171,2.4,8.8,5.6,25.5,1.1,0.5,13.4,27.3,-0.8,1.2,0.4,0.009,-1.2,-2.1,-3.3,-0.7
Derrick Rose,PG,28,NYK,2016-17,64,2082,17.0,0.53,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,2.4,0.6,3.0,0.068,0.2,-2.2,-1.9,0.0
Derrick Rose,PG,29,TOT,2017-18,25,420,11.5,0.507,0.161,0.247,3.5,5.8,4.7,13.6,0.8,0.8,14.5,25.4,-0.2,0.1,-0.2,-0.018,-3.8,-3.9,-7.8,-0.6
Derrick Rose,PG,30,MIN,2018-19,51,1392,19.5,0.557,0.194,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3.0,0.102,2.3,-2.9,-0.6,0.5
Derrick Walton,PG,22,MIA,2017-18,16,147,11.2,0.525,0.68,0.24,1.5,10.7,6.1,14.6,2.4,1.7,6.7,9.1,0.2,0.2,0.4,0.128,-1.5,1.0,-0.5,0.1
Derrick White,PG,23,SAS,2017-18,17,139,15.9,0.646,0.394,0.606,4.0,16.9,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.17,0.0,0.5,0.5,0.1
Derrick White,PG,24,SAS,2018-19,67,1728,14.8,0.555,0.262,0.227,2.2,13.3,7.8,21.0,1.9,2.3,14.0,17.7,1.7,1.9,3.6,0.101,-0.2,1.1,0.9,1.3
Derrick Williams,PF,20,MIN,2011-12,66,1418,12.9,0.499,0.277,0.392,6.0,18.4,12.2,4.5,1.1,1.6,11.7,20.7,0.6,1.2,1.8,0.059,-2.3,-0.8,-3.1,-0.4
Derrick Williams,PF,21,MIN,2012-13,78,1916,14.5,0.515,0.249,0.346,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,1.0,2.1,3.0,0.076,-2.1,-1.5,-3.7,-0.8
Derrick Williams,SF,22,TOT,2013-14,78,1820,11.5,0.524,0.205,0.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.068,-2.1,-0.5,-2.6,-0.3
Derrick Williams,PF,23,SAC,2014-15,74,1462,12.8,0.54,0.322,0.404,3.3,12.1,7.8,5.6,1.2,0.2,8.9,18.9,1.7,0.4,2.1,0.069,-0.5,-2.7,-3.2,-0.5
Derrick Williams,SF,24,NYK,2015-16,80,1435,17.2,0.55,0.265,0.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,2.4,1.2,3.6,0.12,-0.1,-2.4,-2.6,-0.2
Derrick Williams,PF,25,TOT,2016-17,50,804,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,0.4,0.6,1.1,0.064,-2.4,-1.8,-4.2,-0.4
Derrick Williams,PF,26,LAL,2017-18,2,9,-3.2,0.25,0.5,0.0,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.191,-11.5,-6.6,-18.1,0.0
Derrick Zimmerman,PG,24,NJN,2005-06,2,32,5.5,0.667,0.0,0.0,3.6,11.2,7.3,34.2,0.0,0.0,57.1,10.3,0.0,0.0,0.0,0.004,-7.1,-2.6,-9.7,-0.1
Desmon Farmer,SG,25,SEA,2006-07,8,32,15.4,0.421,0.533,0.067,0.0,3.8,1.9,46.0,1.6,0.0,6.1,23.3,0.0,0.0,0.0,0.074,1.4,-7.8,-6.4,0.0
Desmon Farmer,SG,27,SAS,2008-09,3,54,0.4,0.437,0.857,0.143,0.0,13.1,6.6,5.4,0.0,0.0,21.2,16.9,-0.1,0.1,-0.1,-0.071,-6.2,-2.2,-8.4,-0.1
Desmond Mason,SF,28,NOK,2005-06,70,2102,9.2,0.46,0.009,0.438,3.5,13.6,8.4,5.4,1.1,0.7,12.1,20.8,-1.7,1.4,-0.2,-0.005,-4.5,-1.0,-5.5,-1.8
Desmond Mason,SF,29,NOK,2006-07,75,2575,10.8,0.493,0.0,0.359,5.4,10.1,7.7,7.6,1.1,0.7,15.6,21.9,-1.2,1.8,0.6,0.011,-3.0,-0.5,-3.5,-1.0
