player_name,Zone,Contest,FGA,FGM,FG_PCT
norris cole,Mid-Range,Slight Contest,35,17,0.4857
norris cole,Mid-Range,Wide Open,19,12,0.6316
norris cole,Restricted Area (Layup),Heavy Contest,57,31,0.5439
norris cole,Restricted Area (Layup),Slight Contest,10,8,0.8
oj mayo,Above the Break 3,Heavy Contest,47,14,0.2979
oj mayo,Above the Break 3,Slight Contest,83,32,0.3855
oj mayo,Above the Break 3,Wide Open,44,14,0.3182
oj mayo,Corner 3,Heavy Contest,20,3,0.15
oj mayo,Corner 3,Slight Contest,12,6,0.5
oj mayo,Corner 3,Wide Open,15,8,0.5333
oj mayo,Free Throw / Short Range,Heavy Contest,133,61,0.4586
oj mayo,Free Throw / Short Range,Slight Contest,21,11,0.5238
oj mayo,Mid-Range,Heavy Contest,74,29,0.3919
oj mayo,Mid-Range,Slight Contest,55,14,0.2545
oj mayo,Mid-Range,Wide Open,15,7,0.4667
oj mayo,Restricted Area (Layup),Heavy Contest,33,19,0.5758
omer asik,Free Throw / Short Range,Heavy Contest,42,15,0.3571
omer asik,Restricted Area (Layup),Heavy Contest,235,122,0.5191
omer asik,Restricted Area (Layup),Slight Contest,12,11,0.9167
omri casspi,Above the Break 3,Wide Open,22,3,0.1364
omri casspi,Free Throw / Short Range,Heavy Contest,124,56,0.4516
omri casspi,Free Throw / Short Range,Slight Contest,20,12,0.6
omri casspi,Restricted Area (Layup),Heavy Contest,46,26,0.5652
otto porter,Above the Break 3,Slight Contest,23,9,0.3913
otto porter,Above the Break 3,Wide Open,17,6,0.3529
otto porter,Corner 3,Slight Contest,10,3,0.3
otto porter,Corner 3,Wide Open,13,6,0.4615
otto porter,Free Throw / Short Range,Heavy Contest,47,21,0.4468
otto porter,Free Throw / Short Range,Slight Contest,12,7,0.5833
otto porter,Mid-Range,Heavy Contest,29,15,0.5172
otto porter,Mid-Range,Slight Contest,47,15,0.3191
otto porter,Mid-Range,Wide Open,30,15,0.5
otto porter,Restricted Area (Layup),Heavy Contest,38,24,0.6316
pablo prigioni,Above the Break 3,Heavy Contest,10,2,0.2
pablo prigioni,Above the Break 3,Slight Contest,50,20,0.4
pablo prigioni,Above the Break 3,Wide Open,54,20,0.3704
pablo prigioni,Free Throw / Short Range,Heavy Contest,10,2,0.2
pablo prigioni,Restricted Area (Layup),Heavy Contest,10,7,0.7
patrick beverley,Above the Break 3,Heavy Contest,36,9,0.25
patrick beverley,Above the Break 3,Slight Contest,91,28,0.3077
patrick beverley,Above the Break 3,Wide Open,60,28,0.4667
patrick beverley,Corner 3,Heavy Contest,10,5,0.5
patrick beverley,Corner 3,Slight Contest,38,12,0.3158
patrick beverley,Corner 3,Wide Open,43,19,0.4419
patrick beverley,Free Throw / Short Range,Heavy Contest,79,31,0.3924
patrick beverley,Free Throw / Short Range,Slight Contest,29,15,0.5172
patrick beverley,Restricted Area (Layup),Heavy Contest,35,13,0.3714
patrick patterson,Above the Break 3,Slight Contest,62,26,0.4194
patrick patterson,Above the Break 3,Wide Open,86,35,0.407
patrick patterson,Corner 3,Slight Contest,26,9,0.3462
patrick patterson,Corner 3,Wide Open,30,13,0.4333
patrick patterson,Free Throw / Short Range,Heavy Contest,79,38,0.481
patrick patterson,Free Throw / Short Range,Slight Contest,29,20,0.6897
patrick patterson,Mid-Range,Slight Contest,15,7,0.4667
patrick patterson,Mid-Range,Wide Open,12,5,0.4167
patrick patterson,Restricted Area (Layup),Heavy Contest,36,22,0.6111
pau gasol,Corner 3,Wide Open,10,6,0.6
pau gasol,Free Throw / Short Range,Heavy Contest,338,152,0.4497
pau gasol,Free Throw / Short Range,Slight Contest,40,23,0.575
pau gasol,Free Throw / Short Range,Wide Open,10,5,0.5
pau gasol,Mid-Range,Heavy Contest,33,13,0.3939
pau gasol,Mid-Range,Slight Contest,116,49,0.4224
pau gasol,Mid-Range,Wide Open,119,66,0.5546
pau gasol,Restricted Area (Layup),Heavy Contest,133,78,0.5865
pau gasol,Restricted Area (Layup),Slight Contest,11,10,0.9091
paul millsap,Above the Break 3,Slight Contest,38,9,0.2368
paul millsap,Above the Break 3,Wide Open,105,37,0.3524
paul millsap,Corner 3,Wide Open,17,8,0.4706
paul millsap,Free Throw / Short Range,Heavy Contest,227,106,0.467
paul millsap,Free Throw / Short Range,Slight Contest,45,17,0.3778
paul millsap,Mid-Range,Heavy Contest,17,3,0.1765
paul millsap,Mid-Range,Slight Contest,47,25,0.5319
paul millsap,Mid-Range,Wide Open,22,9,0.4091
paul millsap,Restricted Area (Layup),Heavy Contest,187,104,0.5561
paul millsap,Restricted Area (Layup),Slight Contest,24,23,0.9583
paul pierce,Above the Break 3,Heavy Contest,57,18,0.3158
paul pierce,Above the Break 3,Slight Contest,93,40,0.4301
paul pierce,Above the Break 3,Wide Open,53,23,0.434
paul pierce,Corner 3,Heavy Contest,13,6,0.4615
paul pierce,Corner 3,Slight Contest,10,4,0.4
paul pierce,Free Throw / Short Range,Heavy Contest,78,39,0.5
paul pierce,Free Throw / Short Range,Slight Contest,20,14,0.7
paul pierce,Mid-Range,Heavy Contest,82,28,0.3415
paul pierce,Mid-Range,Slight Contest,30,17,0.5667
paul pierce,Restricted Area (Layup),Heavy Contest,66,36,0.5455
pero antic,Above the Break 3,Heavy Contest,13,2,0.1538
pero antic,Above the Break 3,Slight Contest,49,14,0.2857
pero antic,Above the Break 3,Wide Open,51,19,0.3725
pero antic,Free Throw / Short Range,Heavy Contest,14,5,0.3571
pero antic,Mid-Range,Slight Contest,12,5,0.4167
pero antic,Mid-Range,Wide Open,13,5,0.3846
pero antic,Restricted Area (Layup),Heavy Contest,36,15,0.4167
pj tucker,Above the Break 3,Heavy Contest,10,4,0.4
pj tucker,Above the Break 3,Slight Contest,25,6,0.24
pj tucker,Above the Break 3,Wide Open,63,25,0.3968
pj tucker,Corner 3,Heavy Contest,12,2,0.1667
pj tucker,Corner 3,Slight Contest,35,15,0.4286
pj tucker,Corner 3,Wide Open,42,13,0.3095
pj tucker,Free Throw / Short Range,Heavy Contest,87,48,0.5517
pj tucker,Free Throw / Short Range,Slight Contest,21,12,0.5714
pj tucker,Mid-Range,Slight Contest,33,7,0.2121
pj tucker,Mid-Range,Wide Open,15,10,0.6667
